City,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points
"NEWARK, DE",22.2,6,16.6,9.8,6.7,3.0,-15.0,21.7,1.0,0.05,0.04,0.02,3.0,-0.6,0.62,3.1,1.5
"EVANSTON, IL",16.9,14,25.6,20.1,5.5,2.0,-20.0,25.5,1.0,0.08,0.03,0.04,3.0,-0.6,0.64,3.0,1.5
"CANTON, OH",20.0,18,17.6,13.4,4.2,3.0,-15.0,19.2,1.4,0.01,0.0,0.0,2.0,-0.05,0.05,1.6,1.5
"PEACHTREE CITY, GA",0.0,0,11.6,,,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.5
"WAXHAW, NC",0.0,0,13.3,,,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.5
"SIOUX FALLS, SD",11.9,14,20.3,17.3,3.0,2.0,-20.0,23.0,1.4,0.01,0.0,0.0,2.0,-0.05,0.05,1.7,1.5
"DUNWOODY, GA",0.0,0,13.2,,,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,1.5
"PADUCAH, KY",6.8,3,6.2,2.9,3.3,3.0,-15.0,18.3,1.6,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,1.4
"BELLEVUE, WA",4.6,6,24.8,47.1,-22.2,,,,,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,1.4
"CHULA VISTA, CA",10.3,15,16.5,12.4,4.0,3.0,-15.0,19.0,1.5,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,1.4
"MESA, AZ",12.6,45,18.9,14.6,4.3,3.0,-15.0,19.3,1.4,0.01,0.01,0.01,2.0,-0.05,0.06,1.5,1.4
"FAIRFIELD, CA",17.3,14,18.3,14.2,4.1,3.0,-15.0,19.1,1.5,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,1.4
"LIVERMORE, CA",8.0,4,18.6,14.8,3.8,3.0,-15.0,18.8,1.5,0.02,0.0,0.01,2.0,-0.05,0.06,1.1,1.4
